No.,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,"INGRESOS OPERACIONALES
2018*",GANANCIA (PERDIDA) 2018,TOTAL ACTIVOS 2018,TOTAL PASIVOS 2018,TOTAL PATRIMONIO 2018,"INGRESOS OPERACIONALES
2017*",GANANCIA (PERDIDA) 2017,TOTAL ACTIVOS 2017,TOTAL PASIVOS 2017,TOTAL PATRIMONIO 2017,GRUPO EN NIIF,∆ INGRESOS OPERACIONALES 2017-2018,∆ GANANCIA (PERDIDA) 2017-2018,∆ ACTIVOS 2017-2018,∆ TOTAL PASIVOS 2017-2018,∆ TOTAL PATRIMONIO 2017-2018
852,860502509,PVC GERFOR S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,C2229 - Fabricación de artículos de plástico n.c.p.,MANUFACTURA,2104575050.0,67499690.0,3565461580.0,2073988920.0,1491472660.0,2084958940.0,42914580.0,3256000220.0,1840064940.0,1415935280.0,NIIF PLENAS-GRUPO 1,19616110.0,24585110.0,309461360.0,233923980.0,75537380.0
854,900179369,CONFIPETROL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C3312 - Mantenimiento y reparación especializado de maquinaria y equipo,MANUFACTURA,2546033590.0,172661220.0,2145698860.0,917299680.0,1228399180.0,2093203720.0,176806240.0,1906776900.0,769785200.0,1136991700.0,NIIF PLENAS-GRUPO 1,452829870.0,-4145020.0,238921960.0,147514480.0,91407480.0
855,890404383,ATIEMPO S.A.S,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,N7820 - Actividades de agencias de empleo temporal,SERVICIOS,1369662520.0,102852240.0,344924520.0,221696750.0,123227770.0,1137871080.0,110399370.0,337759950.0,211640910.0,126119040.0,NIIF PYMES-GRUPO 2,231791440.0,-7547130.0,7164570.0,10055840.0,-2891270.0
856,811016426,MEDICAMENTOS POS SA0,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,3414768450.0,22368190.0,2372157070.0,1936851930.0,435305140.0,3297736140.0,70663880.0,2116313820.0,1703133100.0,413180720.0,NIIF PYMES-GRUPO 2,117032310.0,-48295690.0,255843250.0,233718830.0,22124420.0
859,830083392,PRODUCTORA DE TEXTILES DE TOCANCIPA S.A.. TOPTEX S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,C1312 - Tejeduría de productos textiles,MANUFACTURA,1861257470.0,162355690.0,2547906730.0,1558417950.0,989488780.0,1525910920.0,40374880.0,1770694730.0,823749700.0,946945030.0,NIIF PLENAS-GRUPO 1,335346550.0,121980810.0,777212000.0,734668250.0,42543750.0
861,890925215,C.I. PRODUCTOS AUTOADHESIVOS ARCLAD S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,RIONEGRO-ANTIOQUIA,C1709 - Fabricación de otros artículos de papel y cartón,MANUFACTURA,3657450420.0,143623740.0,3754747320.0,2143205760.0,1611541560.0,3513625390.0,222509550.0,3619014030.0,2129875660.0,1489138370.0,NIIF PLENAS-GRUPO 1,143825030.0,-78885810.0,135733290.0,13330100.0,122403190.0
862,830129327,FARMATODO COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",COMERCIO,4334723960.0,309255350.0,1653074800.0,1181329490.0,471745310.0,3665639650.0,-112051370.0,1158102990.0,995613030.0,162489960.0,NIIF PYMES-GRUPO 2,669084310.0,421306720.0,494971810.0,185716460.0,309255350.0
863,890801339,COMPAÑIA MANUFACTURERA MANISOL,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,"C1522 - Fabricación de otros tipos de calzado, excepto calzado de cuero y piel",MANUFACTURA,4119743150.0,112579490.0,2416921530.0,1222331530.0,1194590000.0,3768368030.0,159662220.0,1946360530.0,768089830.0,1178270700.0,NIIF PLENAS-GRUPO 1,351375120.0,-47082730.0,470561000.0,454241700.0,16319300.0
864,800022127,"ESTUDIOS, PROYECTOS E INVERSIONES DE LOS ANDES S.A.S",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,SERVICIOS,2768180280.0,415669510.0,4057704000.0,1066478070.0,2991225930.0,1108145670.0,138081190.0,2352603610.0,1633727230.0,718876380.0,NIIF PLENAS-GRUPO 1,1660034610.0,277588320.0,1705100390.0,-567249160.0,2272349550.0
866,830098375,FLORES IPANEMA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,A0125 - Cultivo de flor de corte,AGROPECUARIO,2104564630.0,69876610.0,1975096600.0,1622201550.0,352895050.0,2140537840.0,186975790.0,1866769380.0,1415472730.0,451296650.0,NIIF PLENAS-GRUPO 1,-35973210.0,-117099180.0,108327220.0,206728820.0,-98401600.0
869,800175457,PANAMERICANA FORMAS E IMPRESOS S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1811 - Actividades de impresión,MANUFACTURA,1711567400.0,99500530.0,2929076670.0,622766920.0,2306309750.0,1584781450.0,82879640.0,3387700910.0,1180891690.0,2206809220.0,NIIF PYMES-GRUPO 2,126785950.0,16620890.0,-458624240.0,-558124770.0,99500530.0
870,800197463,POLLOS EL BUCANERO S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,C1011 - Procesamiento y conservación de carne y productos cárnicos,MANUFACTURA,7759122610.0,-474121170.0,8195633990.0,5170171880.0,3025462110.0,7448513910.0,-83572370.0,4709873880.0,2962423860.0,1747450020.0,NIIF PLENAS-GRUPO 1,310608700.0,-390548800.0,3485760110.0,2207748020.0,1278012090.0
872,890918965,C.I TECNICAS BALTIME DE COLOMBIA S.A,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA-MARTA-MAGDALENA,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,COMERCIO,5191956600.0,39063560.0,2592123600.0,1616841870.0,975281730.0,4609686660.0,58367560.0,1669658240.0,823152540.0,846505700.0,NIIF PLENAS-GRUPO 1,582269940.0,-19304000.0,922465360.0,793689330.0,128776030.0
873,900061516,MUEBLES JAMAR S.A,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,"G4754 - Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación",COMERCIO,3488350160.0,51915370.0,1915497160.0,1356437350.0,559059810.0,3122659050.0,43539320.0,2184576710.0,1677432270.0,507144440.0,NIIF PYMES-GRUPO 2,365691110.0,8376050.0,-269079550.0,-320994920.0,51915370.0
874,892300678,ETICOS SERRANO GOMEZ  LTDA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",COMERCIO,7279841780.0,138106500.0,3662524080.0,2767268830.0,895255250.0,6385671280.0,93604190.0,3032221050.0,2219072300.0,813148750.0,NIIF PLENAS-GRUPO 1,894170500.0,44502310.0,630303030.0,548196530.0,82106500.0
877,890903711,PROCESADORA DE LECHES S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1040 - Elaboración de productos lácteos,MANUFACTURA,1530459270.0,-51729780.0,1022847240.0,582032790.0,440814450.0,1347963180.0,-112035990.0,1042716050.0,550096980.0,492619.07,NIIF PLENAS-GRUPO 1,182496090.0,60306210.0,-19868810.0,31935810.0,440321830.93
878,900473830,GUNVOR COLOMBIA CI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,20396350760.0,28863530.0,1643547850.0,1606145640.0,37402210.0,12826317840.0,4532380.0,2441351230.0,2431557740.0,9793490.0,NIIF PYMES-GRUPO 2,7570032920.0,24331150.0,-797803380.0,-825412100.0,27608720.0
879,860525060,SOCIEDAD EXPORTADORA DE CAFE DE LAS COOPERATIVAS  DE CAFICULTORES S A EXPOCAFE S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,COMERCIO,7705774260.0,-137223720.0,2381108700.0,1800231280.0,580877420.0,9399726170.0,145048370.0,3903929000.0,3051761290.0,852167710.0,NIIF PLENAS-GRUPO 1,-1693951910.0,-282272090.0,-1522820300.0,-1251530010.0,-271290290.0
880,860000896,SIKA COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,C2029 - Fabricación de otros productos químicos n.c.p.,MANUFACTURA,3597183680.0,338409140.0,2212714790.0,1086623510.0,1126091280.0,3374440390.0,305186970.0,1991397990.0,896026140.0,1095371850.0,NIIF PLENAS-GRUPO 1,222743290.0,33222170.0,221316800.0,190597370.0,30719430.0
881,900298861,COMPAÑIA CAFETERA LA MESETA S.A.,SUPERSOCIEDADES,Eje Cafetero,CALDAS,CHINCHINA-CALDAS,C1061 - Trilla de café,MANUFACTURA,6834633100.0,66501760.0,1183387800.0,881178830.0,302208970.0,5900591890.0,17190100.0,963267570.0,727560360.0,235707210.0,NIIF PLENAS-GRUPO 1,934041210.0,49311660.0,220120230.0,153618470.0,66501760.0
882,860514592,DEPOSITO PRINCIPAL DE DROGAS LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,2457224940.0,24496620.0,1303075650.0,1110214250.0,192861400.0,2398042730.0,12708450.0,1127403410.0,959038630.0,168364780.0,NIIF PYMES-GRUPO 2,59182210.0,11788170.0,175672240.0,151175620.0,24496620.0
885,890908649,SUN CHEMICAL COLOMBIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"C2022 - Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",MANUFACTURA,1803441870.0,21460120.0,1918127160.0,1157199400.0,760927760.0,1688232560.0,-6208610.0,1783431140.0,1071622140.0,711809000.0,NIIF PLENAS-GRUPO 1,115209310.0,27668730.0,134696020.0,85577260.0,49118760.0
887,800055116,CALYPSO DEL CARIBE S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,"G4729 - Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados",COMERCIO,2460374500.0,134283260.0,862290090.0,574060700.0,288229390.0,1886348850.0,64367500.0,602922730.0,435376590.0,167546140.0,NIIF PYMES-GRUPO 2,574025650.0,69915760.0,259367360.0,138684110.0,120683250.0
888,805029321,CARIBE SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,JAMUNDI-VALLE,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,1649395260.0,16873430.0,416289580.0,253539970.0,162749610.0,1509214790.0,10525870.0,397917270.0,252041100.0,145876170.0,NIIF PLENAS-GRUPO 1,140180470.0,6347560.0,18372310.0,1498870.0,16873440.0
889,890318919,VALLECILLA B Y VALLECILLA M,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,G4690 - Comercio al por mayor no especializado,COMERCIO,1719326670.0,52574250.0,2409906170.0,1586609190.0,823296980.0,1563944830.0,94513160.0,2212275550.0,1429378650.0,782896900.0,NIIF PLENAS-GRUPO 1,155381840.0,-41938910.0,197630620.0,157230540.0,40400080.0
892,890301054,TORRECAFE AGUILA ROJA Y CIA SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,"C1062 - Descafeinado, tostión y molienda del café",MANUFACTURA,1755108220.0,152614060.0,1928922330.0,466701870.0,1462220460.0,1707139090.0,137272780.0,1960143330.0,279338900.0,1680804430.0,NIIF PYMES-GRUPO 2,47969130.0,15341280.0,-31221000.0,187362970.0,-218583970.0
893,800067065,PROMOTORA MEDICA LAS AMERICAS S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"Q8610 - Actividades de hospitales y clinicas, con internacion",SERVICIOS,2507354850.0,154270420.0,4678477920.0,2297773740.0,2380704180.0,2083725940.0,89735870.0,3999124600.0,2116945060.0,1882179540.0,NIIF PLENAS-GRUPO 1,423628910.0,64534550.0,679353320.0,180828680.0,498524640.0
894,890900118,CRISTALERIA PELDAR S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,C2310 - Fabricación de vidrio y productos de vidrio,MANUFACTURA,6979040720.0,1214673680.0,9899178050.0,4537767860.0,5361410190.0,6516282850.0,887774040.0,9218543210.0,4237971310.0,4980571900.0,NIIF PLENAS-GRUPO 1,462757870.0,326899640.0,680634840.0,299796550.0,380838290.0
895,860002127,INDUSTRIA COLOMBIANA DE LLANTAS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",COMERCIO,2532065700.0,50592290.0,1529503740.0,936847350.0,592656390.0,2740851930.0,-119147030.0,1413536620.0,871932600.0,541604020.0,NIIF PLENAS-GRUPO 1,-208786230.0,169739320.0,115967120.0,64914750.0,51052370.0
896,890938020,INPROQUIM SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,LA-ESTRELLA-ANTIOQUIA,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",COMERCIO,2536829820.0,28259780.0,758894540.0,614315280.0,144579260.0,2522738130.0,31151220.0,895954270.0,754563510.0,141390760.0,NIIF PLENAS-GRUPO 1,14091690.0,-2891440.0,-137059730.0,-140248230.0,3188500.0
897,891900196,INGENIO CARMELITA S.A.,SUPERSOCIEDADES,Costa Pacífica,VALLE,TULUA-VALLE,C1071 - Elaboración y refinación de azúcar,MANUFACTURA,1409906190.0,-66769580.0,2133480310.0,1047215950.0,1086264360.0,1498385890.0,-47409660.0,2074609360.0,959708970.0,1114900390.0,NIIF PLENAS-GRUPO 1,-88479700.0,-19359920.0,58870950.0,87506980.0,-28636030.0
898,890932279,C.I. IBLU SOCIEDAD POR ACCIONES SIMPLIFICADA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"G4641 - Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico",COMERCIO,1880298560.0,32800730.0,2069083500.0,1605670840.0,463412660.0,1601147200.0,14925970.0,1452533570.0,1019946020.0,432587550.0,NIIF PLENAS-GRUPO 1,279151360.0,17874760.0,616549930.0,585724820.0,30825110.0
900,830122365,PANASONIC DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA-CUNDINAMARCA,G4690 - Comercio al por mayor no especializado,COMERCIO,1398788200.0,-9125910.0,621785710.0,611012790.0,10772920.0,1633933300.0,-4851220.0,525725650.0,505826820.0,19898830.0,NIIF PLENAS-GRUPO 1,-235145100.0,-4274690.0,96060060.0,105185970.0,-9125910.0
902,860072134,HOCOL S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,14301283120.0,2171229820.0,23364680640.0,8868807930.0,14495872710.0,11835542180.0,-624346450.0,22789080760.0,8050423490.0,14738657.27,NIIF PLENAS-GRUPO 1,2465740940.0,2795576270.0,575599880.0,818384440.0,14481134052.73
904,830065842,ATENTO COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,N8220 - Actividades de centros de llamadas (Call center),SERVICIOS,2506325610.0,-55818870.0,1295049950.0,971798890.0,323251060.0,2525332470.0,-15939350.0,1237904070.0,859597820.0,378306250.0,NIIF PLENAS-GRUPO 1,-19006860.0,-39879520.0,57145880.0,112201070.0,-55055190.0
905,890101553,JANSSEN CILAG SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,3624443230.0,-20346440.0,1715328150.0,779052630.0,936275520.0,3338066010.0,-13732380.0,1605083350.0,648461390.0,956621960.0,NIIF PLENAS-GRUPO 1,286377220.0,-6614060.0,110244800.0,130591240.0,-20346440.0
906,890307885,PLASTICOS ESPECIALES SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,C2229 - Fabricación de artículos de plástico n.c.p.,MANUFACTURA,1424548720.0,42281130.0,1943017250.0,916510110.0,1026507140.0,1263036090.0,48715970.0,1674478690.0,780038910.0,894439780.0,NIIF PLENAS-GRUPO 1,161512630.0,-6434840.0,268538560.0,136471200.0,132067360.0
907,900235088,TECPETROL COLOMBIA S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,1362523110.0,-319518960.0,1069620750.0,532429790.0,537190960.0,776236580.0,-244966310.0,1381770150.0,566009660.0,815760490.0,NIIF PLENAS-GRUPO 1,586286530.0,-74552650.0,-312149400.0,-33579870.0,-278569530.0
908,901089852,Agregados Argos S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",COMERCIO,1617509480.0,20977050.0,523965920.0,464466040.0,59499880.0,576257320.0,-24028380.0,327280510.0,288308890.0,38971620.0,NIIF PLENAS-GRUPO 1,1041252160.0,45005430.0,196685410.0,176157150.0,20528260.0
909,891401858,OPERADORA AVÍCOLA COLOMBIA S.A.S.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,A0145 - Cría de aves de corral,AGROPECUARIO,5687977670.0,113993340.0,3869847950.0,1727058340.0,2142789610.0,5340389470.0,-91225060.0,3745609760.0,1712476640.0,2033133120.0,NIIF PLENAS-GRUPO 1,347588200.0,205218400.0,124238190.0,14581700.0,109656490.0
910,900174478,LOUIS DREYFUS COMPANY COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1061 - Trilla de café,MANUFACTURA,4234607370.0,-72312280.0,3535275720.0,3609816220.0,-74540500.0,6229367020.0,-351142530.0,2800191720.0,2784227470.0,15964250.0,NIIF PLENAS-GRUPO 1,-1994759650.0,278830250.0,735084000.0,825588750.0,-90504750.0
911,811008963,MULTIENLACE SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,N8020 - Actividades de servicios de sistemas de seguridad,SERVICIOS,4590893900.0,387919410.0,4949358690.0,1921561280.0,3027797410.0,4468863880.0,203184420.0,4854833000.0,2014551780.0,2840281220.0,NIIF PLENAS-GRUPO 1,122030020.0,184734990.0,94525690.0,-92990500.0,187516190.0
912,830112215,WORLD FUEL SERVICES COMPANY LLC SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4731 - Comercio al por menor de combustible para automotores,COMERCIO,1948839460.0,3958770.0,637646450.0,426711650.0,210934800.0,1836204600.0,-3379460.0,600353560.0,393377530.0,206976030.0,NIIF PYMES-GRUPO 2,112634860.0,7338230.0,37292890.0,33334120.0,3958770.0
913,830010337,SANOFI AVENTIS DE COLOMBIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,8740659450.0,456976690.0,6009782530.0,3046824700.0,2962957830.0,7677436620.0,109679590.0,5328281750.0,2824092010.0,2504189740.0,NIIF PLENAS-GRUPO 1,1063222830.0,347297100.0,681500780.0,222732690.0,458768090.0
914,860513857,COHERPA INGENIEROS CONSTRUCTORES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,F4210 - Construcción de carreteras y vías de ferrocarril,CONSTRUCCIÓN,1452204670.0,992193590.0,4383805150.0,1312378240.0,3071426910.0,301701930.0,59834190.0,2743362040.0,947050460.0,1796311580.0,NIIF PLENAS-GRUPO 1,1150502740.0,932359400.0,1640443110.0,365327780.0,1275115330.0
915,900470939,CONSTRUCTORA TUNEL DEL ORIENTE S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,F4290 - Construcción de otras obras de ingeniería civil,CONSTRUCCIÓN,2638583460.0,193620410.0,1562901850.0,879480490.0,683421360.0,1886838960.0,166200000.0,1137638680.0,650319230.0,487319450.0,NIIF PLENAS-GRUPO 1,751744500.0,27420410.0,425263170.0,229161260.0,196101910.0
916,800146425,ORGANIZACION SOLARTE Y CIA S.C.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1051 - Elaboración de productos de molinería,MANUFACTURA,3377174170.0,106228670.0,3149839150.0,1306185570.0,1843653580.0,3354326910.0,152405750.0,2724513250.0,910641500.0,1813871750.0,NIIF PLENAS-GRUPO 1,22847260.0,-46177080.0,425325900.0,395544070.0,29781830.0
917,890312779,S&A SERVICIOS Y ASESORIAS SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,N7820 - Actividades de agencias de empleo temporal,SERVICIOS,2304364000.0,24098210.0,280395200.0,152747790.0,127647410.0,2162360600.0,28370870.0,312781820.0,200721350.0,112060470.0,NIIF PYMES-GRUPO 2,142003400.0,-4272660.0,-32386620.0,-47973560.0,15586940.0
918,830112317,PROMOTORA DE CAFE COLOMBIA S. A.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,I5612 - Expendio por autoservicio de comidas preparadas,MANUFACTURA,2941862360.0,-123323090.0,1576591210.0,1103785910.0,472805300.0,2819226810.0,30696450.0,1648220130.0,973889740.0,674330390.0,NIIF PLENAS-GRUPO 1,122635550.0,-154019540.0,-71628920.0,129896170.0,-201525090.0
920,900402080,FRESENIUS KABI COLOMBIA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,1728508530.0,58556190.0,1340836970.0,660476630.0,680360340.0,1328006880.0,122706280.0,1183255920.0,563040580.0,620215340.0,NIIF PLENAS-GRUPO 1,400501650.0,-64150090.0,157581050.0,97436050.0,60145000.0
921,860020369,SU OPORTUNO SERVICIO LTDA,SUPERVIGILANCIA,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,N8010 - Actividades de seguridad privada,SERVICIOS,1614661900.0,34675590.0,670143280.0,323036450.0,347106830.0,1458132030.0,23944330.0,687751280.0,289666600.0,398084680.0,NIIF PLENAS-GRUPO 1,156529870.0,10731260.0,-17608000.0,33369850.0,-50977850.0
923,830068119,VITALIS SACI,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,1760450030.0,14872690.0,2311905080.0,1477094880.0,834810200.0,1196948530.0,-71906930.0,2313735960.0,1727982190.0,585753770.0,NIIF PLENAS-GRUPO 1,563501500.0,86779620.0,-1830880.0,-250887310.0,249056430.0
924,860034944,PRODUCTORA DE CABLES PROCABLES SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,MANUFACTURA,3476461440.0,86234910.0,1607327300.0,848401390.0,758925910.0,3217667460.0,94706410.0,1707972480.0,1035281470.0,672691010.0,NIIF PLENAS-GRUPO 1,258793980.0,-8471500.0,-100645180.0,-186880080.0,86234900.0
925,890900308,FABRICATO S.A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,BELLO-ANTIOQUIA,C1312 - Tejeduria de productos textiles,MANUFACTURA,3442227640.0,-317551760.0,9081787640.0,3718760190.0,5363027450.0,3476860000.0,-64460000.0,9018000000.0,3703350000.0,5314650000.0,NIIF PLENAS-GRUPO 1,-34632360.0,-253091760.0,63787640.0,15410190.0,48377450.0
926,800208785,CONGELADOS AGRICOLAS SA CONGELAGRO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"C1020 - Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",MANUFACTURA,1732216050.0,89375080.0,968618890.0,286503710.0,682115180.0,1605246140.0,34752440.0,883303770.0,290563670.0,592740100.0,NIIF PLENAS-GRUPO 1,126969910.0,54622640.0,85315120.0,-4059960.0,89375080.0
927,860500480,ALMACENES CORONA S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados",COMERCIO,2695369460.0,-4185750.0,800497820.0,655340250.0,145157570.0,2696591200.0,-27650930.0,811846150.0,663525500.0,148320650.0,NIIF PLENAS-GRUPO 1,-1221740.0,23465180.0,-11348330.0,-8185250.0,-3163080.0
928,890901264,DISTRIBUIDORA DE ABONOS S.A,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,SABANETA-ANTIOQUIA,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,COMERCIO,3968016380.0,65087610.0,1580964410.0,1070810170.0,510154240.0,1787731940.0,52240530.0,1197660910.0,646485380.0,551175530.0,NIIF PYMES-GRUPO 2,2180284440.0,12847080.0,383303500.0,424324790.0,-41021290.0
929,860007884,AUTOMOTORA NACIONAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,2635718480.0,20933080.0,1298308970.0,886527810.0,411781160.0,2238756310.0,11415500.0,1146728860.0,785880780.0,360848080.0,NIIF PYMES-GRUPO 2,396962170.0,9517580.0,151580110.0,100647030.0,50933080.0
